index,value,label,truth,anomaly,doLabel
483,132,132,132,0,FALSE
484,132,132,132,0,FALSE
485,132,132,132,0,FALSE
486,132,132,132,0,FALSE
487,132,132,132,0,FALSE
488,132,132,132,0,FALSE
489,132,132,132,0,FALSE
490,132,132,132,0,FALSE
491,132,132,132,0,FALSE
492,132,132,132,0,FALSE
493,121,121,121,0,FALSE
494,132,132,132,0,FALSE
495,121,121,121,0,FALSE
496,121,121,121,0,FALSE
497,121,121,121,0,FALSE
498,121,121,121,0,FALSE
499,121,121,121,0,FALSE
500,121,121,121,0,FALSE
501,121,121,121,0,FALSE
502,121,121,121,0,FALSE
503,132,132,132,0,FALSE
504,121,121,121,0,FALSE
505,121,121,121,0,FALSE
506,121,121,121,0,FALSE
507,121,121,121,0,FALSE
508,121,121,121,0,FALSE
509,121,121,121,0,FALSE
510,121,121,121,0,FALSE
511,121,121,121,0,FALSE
512,121,121,121,0,FALSE
513,121,121,121,0,FALSE
514,132,132,132,0,FALSE
515,121,121,121,0,FALSE
516,121,121,121,0,FALSE
517,121,121,121,0,FALSE
518,110,110,110,0,FALSE
519,110,110,110,0,FALSE
520,110,110,110,0,FALSE
521,110,110,110,0,FALSE
522,110,110,110,0,FALSE
523,110,110,110,0,FALSE
524,110,110,110,0,FALSE
525,110,110,110,0,FALSE
526,110,110,110,0,FALSE
527,121,121,121,0,FALSE
528,110,110,110,0,FALSE
529,110,110,110,0,FALSE
530,110,110,110,0,FALSE
531,110,110,110,0,FALSE
532,110,110,110,0,FALSE
533,110,110,110,0,FALSE
534,110,110,110,0,FALSE
535,121,121,121,0,FALSE
536,110,110,110,0,FALSE
537,110,110,110,0,FALSE
538,110,110,110,0,FALSE
539,110,110,110,0,FALSE
540,110,110,110,0,FALSE
541,110,110,110,0,FALSE
542,110,110,110,0,FALSE
543,99,99,99,0,FALSE
544,99,99,99,0,FALSE
545,99,99,99,0,FALSE
546,99,99,99,0,FALSE
547,99,99,99,0,FALSE
548,99,99,99,0,FALSE
549,99,99,99,0,FALSE
550,99,99,99,0,FALSE
551,99,99,99,0,FALSE
552,99,99,99,0,FALSE
553,99,99,99,0,FALSE
554,99,99,99,0,FALSE
555,99,99,99,0,FALSE
556,99,99,99,0,FALSE
557,99,99,99,0,FALSE
558,869,869,99,1,FALSE
559,869,869,99,1,FALSE
560,869,869,99,1,FALSE
561,869,869,99,1,FALSE
562,869,869,99,1,FALSE
563,858,858,99,1,FALSE
564,869,869,99,1,FALSE
565,869,869,99,1,FALSE
566,99,99,99,0,FALSE
567,99,99,99,0,FALSE
568,99,99,99,0,FALSE
569,99,99,99,0,FALSE
570,99,99,99,0,FALSE
571,869,869,99,1,FALSE
572,880,880,99,1,FALSE
